AcctCode;AcctName
322401;EQUIPO DE TRANSPORTE
322411;LEASING MAQUINARIA Y EQUIPOS DE EXPLOTACION COSTO
322511;LEASING UNIDADES TRANSPORTE COSTO
322521;REVALUACIÓN
322601;EQUIPO PARA PROCESAMIENTO DE INFORMACIÓN (DE COMPUTO)
322602;EQUIPOS DIVERSOS
322611;COSTO
322621;REVALUACIÓN
322711;COSTO EQUIPO PARA PROCESAMIENTO DE INFORMACION
322712;COSTO EQUIPO DIVERSOS
322721;REVALUACION EQUIPO PARA PROCESAMIENTO DE INFORMACION
322722;REVALUACION COSTO EQUIPO DIVERSOS
322811;COSTO
322821;REVALUACIÓN
323311;EDIFICACIONES ARRENDADOS COSTO
330111;COSTO
330121;REVALUACIÓN
330131;COSTO DE FINANCIACIÓN
330141;VALOR RAZONABLE
330211;COSTO
330221;REVALUACIÓN
330231;COSTO DE FINANCIACIÓN
330241;VALOR RAZONABLE
331101;COSTO DE TERRENOS
331102;REVALUACIÓN DE TERRENOS
331111;COSTO DE TERRENOS
331121;REVALUACIÓN DE TERRENOS
332101;COSTO DE ADQUISICIÓN EDIFICACIONES
332102;REVALUACIÓN DE EDIFICACIONES
332103;SESION DE USO DE INMUEBLES
332111;EDIFICACIONES COSTO
332121;EDIFICACIONES REVALUACIÓN
332131;COSTO DE FINANCIACIÓN
332132;SESION DE USO DE INMUEBLES
332401;COSTO DE ADQUISICIÓN INSTALACIONES
332402;REVALUACIÓN DE INSTALACIONES
332411;INSTALACIONES COSTO
332421;INSTALACIONES REVALUACIÓN
332431;COSTO DE FINANCIACIÓN
332432;SESION DE USO DE INMUEBLES
332511;MEJORAS LOCALES ARRENDADOS COSTO
332521;REVALUACIÓN
332531;COSTO DE FINANCIACIÓN
333101;COSTO DE ADQUISICIÓN MAQUINARIA Y EQUIPO
333111;COSTO DE ADQUICISIÓN MAQUINARIA Y EQUIPO
333121;REVALUACIÓN
333131;COSTO DE FINANCIACIÓN
334101;COSTO DE ADQUISICIÓN UNIDADES DE TRANSPORTE
334111;COSTO DE ADQUISICIÓN UNIDADES DE TRANSPORTE
334121;REVALUACIÓN
334211;COSTO
334221;REVALUACIÓN
335101;COSTO DE ADQUISICIÓN MUEBLES Y ENSERES
335111;COSTO DE ADQUISICIÓN MUEBLES Y ENSERES
335121;REVALUACIÓN
335211;COSTO
335221;REVALUACIÓN
336101;EQUIPO PARA PROCESAMIENTO DE INFORMACIÓN (DE CÓMPUTO)
336102;EQUIPOS DIVERSOS
336111;COSTO DE ADQUISICIÓN EQUIPOS DIVERSOS
336121;REVALUACIÓN
336211;COSTO DE ADQUISICIÓN EQUIPOS COMUNICACIÓN
336221;REVALUACIÓN
336311;EQUIPO DE SEGURIDAD COSTO
336321;EQUIPO DE SEGURIDAD REVALUACIÓN
336411;COSTO
336421;REVALUACIÓN
336911;OTROS EQUIPOS COSTO
336921;REVALUACIÓN
337101;HERRAMIENTAS Y UNIDADES DE REEMPLAZO
337111;COSTO
337121;REVALUACIÓN
337211;COSTO
337221;REVALUACIÓN
338101;MAQUINARIA Y EQUIPO DE EXPLOTACIÓN
338201;EQUIPO DE TRANSPORTE
338301;MUEBLES Y ENSERES
338601;EQUIPOS DIVERSOS
338701;HERRAMIENTAS Y UNIDADES DE REEMPLAZO
339101;TRABAJOS EN CURSO
339211;TRABAJOS EN CURSO COSTO
339221;COSTO DE FINANCIACIÓN
339311;COSTO
339321;COSTO DE FINANCIACIÓN
341101;COSTO DE CONCESIONES, LICENCIAS Y OTROS DERECHOS
341111;COSTO
341121;REVALUACIÓN
341211;COSTO
341221;REVALUACIÓN
341911;COSTO
341921;REVALUACIÓN
342101;COSTO DE PROGRAMAS DE COMPUTADORA (SOFTWARE)
342111;COSTO DE PROGRAMAS DE COMPUTADORA (SOFTWARE)
342121;REVALUACIÓN
342211;COSTO
342221;REVALUACIÓN
343111;COSTO
343121;REVALUACIÓN
344101;COSTOS DE EXPLORACIÓN Y DESARROLLO
344111;COSTO
344121;REVALUACIÓN
344131;COSTO DE FINANCIACIÓN
344211;COSTO
344221;REVALUACIÓN
344231;COSTO DE FINANCIACIÓN
345111;COSTO
345121;REVALUACIÓN
345211;COSTO
345221;REVALUACIÓN
347101;PLUSVALÍA MERCANTIL
349101;OTROS ACTIVOS INTANGIBLES
349111;COSTO
349121;REVALUACIÓN
351111;COSTO
351131;COSTO DE FINANCIACIÓN
351141;VALOR RAZONABLE
351211;COSTO
351231;COSTO DE FINANCIACIÓN
351241;VALOR RAZONABLE
352111;COSTO
352131;COSTO DE FINANCIACIÓN
352141;VALOR RAZONABLE
352211;COSTO
352231;COSTO DE FINANCIACIÓN
352241;VALOR RAZONABLE
361101;DESVALORIZACIÓN DE ACTIVO INMOVILIZADO
361111;COSTO
361121;REVALUACIÓN
361211;COSTO
361221;REVALUACIÓN
361231;COSTO DE FINANCIACIÓN
361311;COSTO
361321;REVALUACIÓN
361331;COSTO DE FINANCIACIÓN
362111;COSTO
362121;REVALUACIÓN
362211;COSTO
362221;REVALUACIÓN
362231;COSTO DE FINANCIACIÓN
363111;COSTO
363121;REVALUACIÓN
363211;COSTO
363221;REVALUACIÓN
363231;COSTO DE FINANCIACIÓN
363311;COSTO
363321;REVALUACIÓN
363331;COSTO DE FINANCIACIÓN
363411;COSTO
363421;REVALUACIÓN
363511;COSTO
363521;REVALUACIÓN
363611;COSTO
363621;REVALUACIÓN
364011;COSTO
364021;PLANTA PRODUCTORA EN PRODUCCIÓN - REVALUACIÓN
364031;PLANTA PRODUCTORA EN PRODUCCIÓN - COSTO DE FINANCIACIÓN
364051;PLANTA PRODUCTORA EN DESARROLLO - COSTO
364061;PLANTA PRODUCTORA EN DESARROLLO - REVALUACIÓN
364071;PLANTA PRODUCTORA EN DESARROLLO - COSTO DE FINANCIACIÓN
364081;PLANTA PRODUCTORA EN DESARROLLO - VALOR RAZONABLE
364111;COSTO
364121;REVALUACIÓN
364211;EDIFICACIONES - COSTO
364221;EDIFICACIONES - REVALUACIÓN
364231;EDIFICACIONES - COSTO DE FINANCIACIÓN
364241;INSTALACIONES - COSTO
364251;INSTALACIONES - REVALUACIÓN
364261;INSTALACIONES - COSTO DE FINANCIACIÓN
364271;MEJORAS EN LOCALES ARRENDADOS - COSTO
364281;MEJORAS EN LOCALES ARRENDADOS - REVALUACIÓN
364291;MEJORAS EN LOCALES ARRENDADOS - COSTO DE FINANCIACIÓN
364311;COSTO
364321;REVALUACIÓN
364331;COSTO DE FINANCIACIÓN
364411;COSTO
364421;REVALUACIÓN
364511;COSTO
364521;REVALUACIÓN
364611;COSTO
364621;REVALUACIÓN
364711;HERRAMIENTAS - COSTO
364911;COSTO
364921;REVALUACIÓN
365111;COSTO
365121;REVALUACIÓN
365211;COSTO
365221;REVALUACIÓN
365311;COSTO
365321;REVALUACIÓN
365411;COSTO
365421;REVALUACIÓN
365431;COSTO DE FINANCIACIÓN
365511;COSTO
365521;REVALUACIÓN
365701;PLUSVALÍA MERCANTIL
365911;COSTO
365921;REVALUACIÓN
366111;COSTO
366131;COSTO DE FINANCIACIÓN
366211;COSTO
366221;COSTO DE FINANCIACIÓN
367111;COSTO
367211;COSTO
367311;COSTO
371101;IMPUESTO A LA RENTA DIFERIDO
371102;PARTICIPACIONES DE LOS TRABAJADORES DIFERIDAS
371201;IMPUESTO A LA RENTA DIFERIDO – RESULTADOS
372101;PARTICIPACIONES DE LOS TRABAJADORES DIFERIDAS – PATRIMONIO
372201;PARTICIPACIONES DE LOS TRABAJADORES DIFERIDAS – RESULTADOS
373101;INTERESES NO DEVENGADOS EN TRANSACCIONES CON TERCEROS
373102;INTERESES NO DEVENGADOS  EN MEDICION A VALOR DESCONTADO
373103;INTERESES NO DEVENGADOS EN TRANSACCIONES CON TERCEROS S/.
373201;INTERESES NO DEVENGADOS EN MEDICIÓN A VALOR DESCONTADO
381101;OBRAS DE ARTE
381201;BIBLIOTECA
381301;OTROS
382101;MONEDAS Y JOYAS
382201;BIENES ENTREGADOS EN COMODATO
382301;BIENES RECIBIDOS EN PAGO (ADJUDICADOS Y REALIZABLES)
382901;OTROS
383521;REVALUACIÓN
384721;HERRAMIENTAS - REVALUACIÓN
384731;UNIDADES DE REEMPLAZO - COSTO
384741;UNIDADES DE REEMPLAZO - REVALUACIÓN
391101;DEPRECIACIÓN DE INVERSIONES INMOBILIARIAS
391102;DEPRECIACIÓN DE ACTIVOS EN LEASING
391103;DEPRECIACIÓN DE EDIFICACIONES E INSTALACIONES
391104;DEPRECIACIÓN DE MAQUINARIA Y EQUIPO
391105;DEPRECIACIÓN DE UNIDADES DE TRANSPORTE
391106;DEPRECIACIÓN DE MUEBLES Y ENSERES
391107;DEPRECIACION DE EQUIPO DIVERSOS
391108;DEPRECIACIÓN DE EQUIPO PARA PROCESAMIENTO DE INFORMACIÓN
391109;DEPRECIACIÓN DE HERRAMIENTAS Y UNIDADES DE REEMPLAZO
391110;Depreciacion Edificios revaluados
391111;DEPRECIACIÓN DE INMUEBLES MAQUINARIA Y EQUIPOS COSTO
391121;DEPRECIACIÓN DE INMUEBLES MAQUINARIA Y EQUIPOS REVALUACIÓN
391131;COSTO DE FINANCIACIÓN
391201;DEPRECIACIÓN EDIFICACIONES LEASING
391203;DEPRECIACIÓN MAQUINARIAS Y EQUIPOS LEASING
391204;DEPRECIACIÓN UNIDADES DE TRANSPORTE LEASING
391206;DEPRECIACIÓN EQUIPOS DIVERSOS LEASING
391208;DEPRECIACIÓN EQUIPOS DE COMPUTO LEASING
392101;AMORTIZACION DE CONCESIONES, LICENCIAS Y OTROS DERECHOS
392102;AMORTIZACIÓN DE PROGRAMAS DE COMPUTADORA (SOFTWARE)
